system,classifier config id,classifier config label,start time,end time,system operative,reason for non operative,Alnus,Alnus normalized count,Betula,Betula normalized count,Carpinus,Carpinus normalized count,Corylus,Corylus normalized count,Cupressus,Cupressus normalized count,Fagus,Fagus normalized count,Fraxinus,Fraxinus normalized count,Pinaceae,Pinaceae normalized count,Platanus,Platanus normalized count,Poaceae,Poaceae normalized count,Populus,Populus normalized count,Quercus,Quercus normalized count,Water,Water normalized count,Taxus,Taxus normalized count,Ulmus,Ulmus normalized count,---,--- normalized count
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 06:30:00 UTC,09.07.25 07:30:00 UTC,Yes,,0,0,1.25,3,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,2,0,0,0,0,0,0,0.4166666666666667,1,0.8333333333333334,2,0.8333333333333334,2,0,0,89.16666666666667,214
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 07:30:00 UTC,09.07.25 08:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,16,0,0,0.8333333333333334,2,0,0,0.4166666666666667,1,11.666666666666668,28,0.4166666666666667,1,0,0,275.4166666666667,661
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 08:30:00 UTC,09.07.25 09:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,2,0,0,0,0,1.25,3,0,0,0,0,57.5,138
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 09:30:00 UTC,09.07.25 10:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,3,0.8333333333333334,2,0,0,0,0,47.5,114
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 10:30:00 UTC,09.07.25 11:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,1,0.4166666666666667,1,1.25,3,0,0,0,0,40,96
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 11:30:00 UTC,09.07.25 12:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,1,0,0,0,0,0,0,0,0,0.4166666666666667,1,0,0,0,0,47.083333333333336,113
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 12:30:00 UTC,09.07.25 13:30:00 UTC,Yes,,0,0,0.4166666666666667,1,0,0,0,0,0.4166666666666667,1,0,0,0,0,0.4166666666666667,1,0,0,0,0,0,0,0.4166666666666667,1,1.6666666666666667,4,0,0,0,0,220,528
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 13:30:00 UTC,09.07.25 14:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,3,0,0,5.833333333333334,14,0.8333333333333334,2,0,0,1149.1027875,2757.84669
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 14:30:00 UTC,09.07.25 15:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,1.6666666666666667,4,0,0,0,0,0,0,0,0,0.4166666666666667,1,0,0,0,0,10.416666666666668,25,0,0,0,0,552.5,1326
poleno-33,babd171c-3dd6-4d11-9a78-8f63cff25c73,2025Q2_Gamma,09.07.25 15:30:00 UTC,09.07.25 16:30:00 UTC,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,1,0,0,0,0,0.8333333333333334,2,0,0,0,0,5,12,0,0,0,0,1158.8859625,2781.32631
