Classes;Genus;Species;UUID;Dataset name;Number events after cleaning;Poleno;Location;Country;Holography only;Holography + fluorescence;Holography only + holography + fluorescence;"Filtered datasets: 
download link ssabox.ch/datasets_meteoswiss.tar";Download link - unflitered data;;;;;;;;;;;;;;;;;;;
Alnus;Alnus;;11ef555e-ead7-af90-a546-ae7b87f820b4;CH_chevroux_ers_2023_02_21_2 - MMP_OP_model;26123;27;Chevroux;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Alnus;Alnus;;11ef7bf4-d978-126e-add7-ae7b87f820b4;CH_chevroux_lax_2023_02_21_3_LBM_OP_model;26692;27;Chevroux;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Alnus;Alnus;Glutinosa;11ef7412-b345-a193-bd98-ae7b87f820b4;CH_payerne_ers_2023_02_13_1 - LBM_OP_model;9419;27;Payerne;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Alnus;Alnus;;11ef9863-c4af-c121-98b8-ae7b87f820b4;CH_chevroux_ers_2023_02_21_1 - ERB;9743;27;Chevroux;CH;;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Alnus;Alnus;;11ea8475-957e-347c-985a-ae7b87f820b4;alnus_20200214_p4_1_benoit;3474;4;Chevroux;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Alnus;Alnus;;11ea8493-7107-8db4-9bf7-ae7b87f820b4;alnus_20200220_p5_1_benoit;3990;5;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Alnus;Alnus;;11ea847a-f995-790c-830f-ae7b87f820b4;alnus_20200218_p2_1_benoit;4966;2;Payerne-Estavayer;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Betula;Betula;pendula;11ef5966-54f5-f875-875b-ae7b87f820b4;CH_avenches_ers_2023_04_18_1 - MMP_OP_model;16265;27;Avenches;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Betula;Betula;pendula;11ef742f-0f3d-287f-95a7-ae7b87f820b4;CH_avenches_ers_2023_04_27_1 - LBM_OP_model;24191;27;Avenches;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Betula;Betula;pendula;11ef7caa-9074-2e06-9a06-ae7b87f820b4;CH_avenches_ers_2023_04_27_2 - LBM_OP_model;17824;27;Avenches;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Betula;Betula;pendula;11ef9864-602f-925d-95e6-ae7b87f820b4;CH_avenches_ers_2023_04_06_3 - ERB_clean;19232;27;Avenches;CH;;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Betula;Betula;;11ea8632-1eb2-2452-bc84-ae7b87f820b4;betula_20200406_p4_1_benoit;2173;4;Unknown;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Betula;Betula;;11ea8897-f50e-66a2-9876-ae7b87f820b4;betula_20200406_p2_1_benoit;5770;2;Unknown;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Betula;Betula;;11ea8632-18ed-7210-985a-ae7b87f820b4;betula_20200407_p4_2_benoit;6533;4;Unknown;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Carpinus;Carpinus;;11ea8f6c-b78c-d076-a542-ae7b87f820b4;carpinus_20200319_p4_2_fiona;395;4;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Carpinus;Carpinus;;11ea8f6d-1562-211a-8192-ae7b87f820b4;carpinus_20200319_p2_3_fiona;545;2;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Carpinus;Carpinus;;11ea8f77-4ee3-aef4-b330-ae7b87f820b4;carpinus_20200319_p5_2_fiona;643;5;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
