species;model;area_sf_max;area_sf_min;area_sf_diff;area_ratio_max;area_ratio_min;area_ratio_diff;area_kendall_max;area_kendall_min;area_kendall_diff
Alnus;2022-operational;6,40395386;2,944190012;3,459763848;0,200179192;0,0751584;0,125020792;0,660251727;0,153179854;0,507071873
Alnus;2025-Beta-1;999,99987;4,678681918;995,3211881;0,237447473;0,027746082;0,209701391;0,709105855;0,052658128;0,656447728
Alnus;2025-Beta-2;8,214392028;3,12857083;5,085821198;0,056433534;0,016514065;0,039919469;0,746487595;0,261621602;0,484865993
Alnus;2025-Gamma-1;275,1265398;5,191851333;269,9346884;0,322816302;0,061385527;0,261430774;0,617598992;0,13343622;0,484162772
Alnus;2025-Gamma-2;6,138338428;2,986956854;3,151381574;0,048699592;0,014874813;0,03382478;0,748048965;0,060287855;0,68776111
Alnus;2025-Gamma-3;75,03294481;4,641270264;70,39167454;0,060710644;0,02666485;0,034045794;0,715001653;0,098289304;0,616712349
Alnus;2025-Omega-1;999,6117914;5,074532965;994,5372584;0,333090133;0,051229785;0,281860349;0,620414972;0,171208822;0,44920615
Alnus;2025-Omega-2;137,9220752;4,297480856;133,6245943;0,085761947;0,019318065;0,066443882;0,74120307;0,100915396;0,640287674
Betula;2022-operational;10,18782841;2,184296553;8,003531853;0,517452034;0,121365019;0,396087016;0,426060709;0,005387218;0,420673491
Betula;2025-Beta-1;586,4301554;1,77059645;584,659559;0,203725024;0,041224456;0,162500568;0,578652758;0,058689335;0,519963424
Betula;2025-Beta-2;39,23418646;1,961657372;37,27252909;0,136665952;0,012782357;0,123883595;0,58702154;0,031021356;0,556000184
Betula;2025-Gamma-1;108,6482803;2,804414837;105,8438655;0,137629192;0,032905574;0,104723619;0,556711801;0,021918365;0,534793437
Betula;2025-Gamma-2;9,522863284;1,708354441;7,814508843;0,14907214;0,031605663;0,117466477;0,601592157;0,088117109;0,513475047
Betula;2025-Gamma-3;108,3893745;1,848717309;106,5406572;0,153961154;0,023444113;0,130517042;0,577567858;-0,034825081;0,612392939
Betula;2025-Omega-1;723,19595;6,468535505;716,7274145;0,182395586;0,020145751;0,162249835;0,613792109;-0,058724912;0,672517021
Betula;2025-Omega-2;361,9265244;4,448965295;357,4775591;0,183998218;0,018185157;0,165813062;0,559298602;-0,103654892;0,662953494
Carpinus;2022-operational;0;0;0;0;0;0;0,237037594;-0,00995408;0,246991674
Carpinus;2025-Beta-1;0;0;0;0;0;0;0,242634587;-0,043940566;0,286575153
Carpinus;2025-Beta-2;0;0;0;0;0;0;0,275784553;-0,072034931;0,347819484
Carpinus;2025-Gamma-1;0;0;0;0;0;0;0,23113704;-0,026486697;0,257623737
Carpinus;2025-Gamma-2;0;0;0;0;0;0;0,274110216;-0,027469447;0,301579664
Carpinus;2025-Gamma-3;0;0;0;0;0;0;0,25782751;-0,023974693;0,281802203
Carpinus;2025-Omega-1;0;0;0;0;0;0;0,276930477;0,016988972;0,259941505
Carpinus;2025-Omega-2;0;0;0;0;0;0;0,256256353;0,032217377;0,224038976
Corylus;2022-operational;35,86901722;9,477816867;26,39120035;0,418045887;0,18721185;0,230834037;0,402959865;0,033561749;0,369398116
Corylus;2025-Beta-1;406,1810351;5,348971313;400,8320637;0,224722523;0,134644498;0,090078025;0,520749147;0,092718346;0,428030801
Corylus;2025-Beta-2;17,29556374;5,592208862;11,70335488;0,137241674;0,088242798;0,048998875;0,570229469;0,071401209;0,49882826
Corylus;2025-Gamma-1;104,5804446;6,557371855;98,02307279;0,202634301;0,082402278;0,120232023;0,53176385;0,008406087;0,523357764
Corylus;2025-Gamma-2;7,904831366;4,43416812;3,470663246;0,155782144;0,104132181;0,051649964;0,572632878;0,060175481;0,512457397
Corylus;2025-Gamma-3;38,59851759;4,433317225;34,16520037;0,159320439;0,09055417;0,06876627;0,565887711;0,033933574;0,531954137
Corylus;2025-Omega-1;380,9747975;9,102787925;371,8720095;0,174573619;0,106566331;0,068007288;0,556684664;0,053113;0,503571664
Corylus;2025-Omega-2;96,29501446;6,344256925;89,95075754;0,15296794;0,099515077;0,053452863;0,565827419;0,032431033;0,533396386
